host_id,host_url,host_name,host_since,host_location,host_about,host_response_rate,host_acceptance_rate,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count
6033,https://www.airbnb.com/users/show/6033,Cam,2009-01-05,"Vancouver, Canada","Bonjour, Hello, Hola, I’m Cam. 

A passionate traveller and entrepreneur, I’m originally from France and now living between Canada, Mexico and France with my wife and two beautiful daughters.

I enjoy meeting new people and exploring new cultures. I’ve been to Thailand, Myanmar, Indonesia, Spain, Italy, Greece, Belgium, Portugal, Sweden, Finland, UK, Holland, Switzerland, Caraibian, Hong Kong, Australia, USA, Mexico…and there’s more on the bucket list.

I’m happiest when I’m outside; swimming, kiteboarding, running, hiking, wakeboarding and snowboarding. I’m also a big fan of design and architecture.

I was one of the earliest members of AirBnB (2009) and the first person to rent a house-boat 

My philosophy? Dream your life and live your dream!

Feel free to contact me if you have any questions,

Cheers!",100%,100%,https://a0.muscache.com/im/users/6033/profile_pic/1374945014/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6033/profile_pic/1374945014/original.jpg?aki_policy=profile_x_medium,Downtown Vancouver,4,4
8374,https://www.airbnb.com/users/show/8374,Miriam,2009-02-22,"Vancouver, Canada",,100%,69%,https://a0.muscache.com/im/pictures/user/d3fe9b5b-bd92-4863-9505-2d17ed626104.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d3fe9b5b-bd92-4863-9505-2d17ed626104.jpg?aki_policy=profile_x_medium,,1,3
9187,https://www.airbnb.com/users/show/9187,Mai,2009-03-05,"Vancouver, Canada","Hello! We are Mai and Tan. We have been residents of Vancouver for over 38 years and have met so many travelers in our time here. Our motto is comfort and convenience, at an affordable price. We spend our time making sure that each house is cleaned on a daily basis. If there's any questions or concerns, Mai is only a phone call away.",100%,85%,https://a0.muscache.com/im/users/9187/profile_pic/1321919368/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9187/profile_pic/1321919368/original.jpg?aki_policy=profile_x_medium,Knight,3,5
19916,https://www.airbnb.com/users/show/19916,Cathy + Tom,2009-06-03,"Vancouver, Canada","As avid Airbnbers we've stayed in countless vacation rentals and have experienced first hand what works and what doesn't when it comes to comfortable, well thought out accommodations.

Our goal, and what we work hard to accomplish,  is to ensure you have an excellent guest experience during your stay! ",100%,100%,https://a0.muscache.com/im/pictures/user/5a523469-434b-4688-a290-7c479c4fc0ae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5a523469-434b-4688-a290-7c479c4fc0ae.jpg?aki_policy=profile_x_medium,Dunbar-Southlands,1,2
19982,https://www.airbnb.com/users/show/19982,Fernande,2009-06-03,"Vancouver, Canada", A grandmother who visits her children who are spread over two continents while she rents out her home.  Going to celebrate my eightieth birthday with my children and their families on the East Coast this August.  ,N/A,N/A,https://a0.muscache.com/im/pictures/user/befb8554-7142-4754-b1c3-f2f1d35345d1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/befb8554-7142-4754-b1c3-f2f1d35345d1.jpg?aki_policy=profile_x_medium,Downtown Vancouver,1,1
30033,https://www.airbnb.com/users/show/30033,Eric & Mariko,2009-08-06,"Vancouver, Canada",Canadian who lives between Japan  & Canada. Married with two boys and a big black dog.,0%,N/A,https://a0.muscache.com/im/users/30033/profile_pic/1259114900/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/30033/profile_pic/1259114900/original.jpg?aki_policy=profile_x_medium,Downtown Vancouver,1,6
30899,https://www.airbnb.com/users/show/30899,Rami,2009-08-10,"Vancouver, Canada",I will be happy to host you.,83%,59%,https://a0.muscache.com/im/pictures/user/553029a1-455a-4c1d-84b4-a8eafe73a685.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/553029a1-455a-4c1d-84b4-a8eafe73a685.jpg?aki_policy=profile_x_medium,Downtown Vancouver,28,160
31065,https://www.airbnb.com/users/show/31065,Mj,2009-08-11,"Vancouver, Canada","Hi there!

I came to Vancouver 20 years ago and never left!  I have travelled in many parts of the world and decided to settle here in BC as many do.  I love Airbnb and have stayed in many of them including in Dublin, Sydney and many parts of New Zealand to experience the culture and stay in a home away from home.
I will try to accomodate you as much as I can in hopes you can feel at home when travelling here to the beautiful West Coast.",43%,75%,https://a0.muscache.com/im/users/31065/profile_pic/1315005353/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/31065/profile_pic/1315005353/original.jpg?aki_policy=profile_x_medium,Fraserview,12,25
31857,https://www.airbnb.com/users/show/31857,Kathryn,2009-08-15,"Vancouver, Canada","Vancouver born and raised. Lover of the mountains and the ocean which makes Vancouver the perfect place to call home. Easy going, lover of meat a cheese and often can be found with my feet up relaxing. ",100%,98%,https://a0.muscache.com/im/pictures/user/881d106d-053e-43d8-ab3c-17c69ef9ede8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/881d106d-053e-43d8-ab3c-17c69ef9ede8.jpg?aki_policy=profile_x_medium,South Main,1,1
38861,https://www.airbnb.com/users/show/38861,Steve,2009-09-15,"Vancouver, Canada",I have live in Vancouver for 40 years.  Please ask me any questions about Vancouver.,N/A,N/A,https://a0.muscache.com/im/pictures/user/61ac80c1-4666-42aa-bbf7-95dec0b49130.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/61ac80c1-4666-42aa-bbf7-95dec0b49130.jpg?aki_policy=profile_x_medium,Oakridge,1,5
