id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
13358,2010-06-22,2023-02-24,4.68,4.75,4.8,4.84,4.8,4.92,4.68,2.86
13490,2011-06-02,2022-11-06,4.92,4.93,4.96,4.96,4.97,4.78,4.88,0.67
14267,2010-10-03,2021-07-14,4.76,4.84,4.68,4.9,4.68,4.77,4.71,0.22
14424,2010-02-15,2023-01-26,4.69,4.84,4.93,4.85,4.72,4.6,4.74,1.66
16254,2018-08-04,2022-07-30,4.57,4.86,4.57,4.86,5,4.86,4.29,0.12
16611,2017-12-24,2018-02-16,4,4,3,4,4.33,5,3.67,0.05
17158,2011-05-06,2021-09-29,5,4.83,5,5,5,4.83,5,0.05
17765,2012-10-01,2021-10-01,4.6,4.75,4.5,4.85,4.85,4.88,4.66,1.6
18024,,,,,,,,,,
18270,2011-03-17,2019-12-31,4.54,4.5,3.98,4.75,4.73,4.69,4.49,0.81
18589,2011-06-06,2023-03-12,4.98,4.97,4.98,5,5,4.92,4.95,3.25
18795,2011-04-30,2023-02-12,4.55,4.56,4.47,4.67,4.66,4.88,4.51,0.9
20085,2010-02-22,2022-08-28,4.82,4.84,4.92,4.85,4.89,4.52,4.81,0.48
21912,2011-07-09,2023-02-28,4.71,4.7,4.86,4.89,4.78,4.48,4.77,2.64
21913,2011-11-16,2022-12-16,4.74,4.74,4.88,4.87,4.78,4.43,4.72,1.63
24273,2013-06-01,2021-03-01,5,4.94,5,4.94,4.88,4.94,4.5,0.13
26047,2011-07-04,2022-10-31,4.74,4.85,4.72,4.87,4.87,4.74,4.64,0.28
32746,2010-08-06,2022-10-03,4.27,4.47,4.44,4.51,4.4,4.17,4.19,0.57
33150,2011-05-30,2023-02-09,4.98,4.94,4.99,4.97,4.97,4.94,4.93,0.75
35304,2010-08-14,2023-03-05,4.74,4.75,4.82,4.9,4.91,4.87,4.75,3.47
42645,2010-08-17,2022-08-21,4.79,4.9,4.81,4.75,4.88,4.81,4.59,0.22
48146,2022-10-18,2022-10-18,5,5,5,5,5,5,5,0.2
49736,2010-12-25,2016-08-22,4.89,4.89,5,5,5,5,5,0.06
69763,2011-05-15,2015-06-22,4.94,4.84,4.92,5,4.92,4.95,4.92,0.28
70453,2015-07-08,2023-02-20,4.94,4.83,5,5,5,4.85,5,0.34
72659,2012-12-30,2018-05-23,4.91,4.92,4.92,4.75,4.83,4.83,4.83,0.1
73841,2011-08-21,2022-08-06,4.74,4.95,4.58,5,5,4.95,4.79,0.14
77157,2011-03-19,2023-03-04,4.81,4.85,4.82,4.94,4.93,4.83,4.84,4.99
98830,2011-05-10,2022-10-02,4.88,4.9,4.82,4.87,4.94,4.98,4.81,1.88
