id,neighbourhood_cleansed,latitude,longitude
13358,West End,49.28201,-123.12669
13490,Kensington-Cedar Cottage,49.25622,-123.06607
14267,Kensington-Cedar Cottage,49.24922,-123.08139
14424,Downtown Eastside,49.27921,-123.08835
16254,Hastings-Sunrise,49.27721,-123.04086
16611,Grandview-Woodland,49.26339,-123.07145
17158,Renfrew-Collingwood,49.25277,-123.03774
17765,Mount Pleasant,49.26132,-123.10845
18024,Kensington-Cedar Cottage,49.24781,-123.07241
18270,Mount Pleasant,49.26557,-123.096
18589,Grandview-Woodland,49.27569,-123.07057
18795,West End,49.28299,-123.13008
20085,Kensington-Cedar Cottage,49.25636,-123.08636
21912,Renfrew-Collingwood,49.23361,-123.05283
21913,Renfrew-Collingwood,49.23442,-123.05307
24273,Kitsilano,49.26216,-123.1715
26047,Downtown,49.28086,-123.12375
32746,Downtown,49.2792,-123.105
33150,Riley Park,49.24677,-123.1048
35304,Grandview-Woodland,49.2729,-123.06973
42645,Downtown,49.28036,-123.1234
48146,Renfrew-Collingwood,49.23653,-123.02664
49736,Kitsilano,49.26778,-123.14674
69763,West End,49.28692,-123.13227
70453,Downtown Eastside,49.27836,-123.08716
72659,Grandview-Woodland,49.27345,-123.07031
73841,Downtown,49.27591,-123.12359
77157,Arbutus Ridge,49.2452,-123.16544
98830,Downtown,49.27936,-123.12443
125176,Riley Park,49.24615,-123.09462
134688,Renfrew-Collingwood,49.24356,-123.04757
140698,Mount Pleasant,49.26262921,-123.1044384
170137,Dunbar Southlands,49.25757,-123.18966
172827,Downtown,49.28034,-123.12648
182451,Kitsilano,49.25808,-123.16824
196722,Grandview-Woodland,49.2634,-123.0712
219261,Kitsilano,49.2719,-123.15043
248014,Grandview-Woodland,49.29103,-123.05782
254657,Downtown Eastside,49.28375,-123.10383
256178,Kitsilano,49.26293,-123.17143
258636,Downtown,49.27839,-123.12852
306178,Renfrew-Collingwood,49.23273,-123.02747
311354,Grandview-Woodland,49.26328,-123.07086
322824,Downtown,49.27608,-123.12452
359942,Downtown,49.27634,-123.11825
377706,Grandview-Woodland,49.27799,-123.07101
415700,Renfrew-Collingwood,49.2332,-123.0551
436032,Downtown Eastside,49.28211,-123.10453
448104,Downtown,49.28063,-123.12502
461370,Killarney,49.22834,-123.03047
461386,Killarney,49.23034,-123.02971
464172,Hastings-Sunrise,49.28586,-123.05563
475296,Downtown Eastside,49.28241,-123.10381
485225,Downtown,49.28052,-123.12691
496298,Downtown,49.28062,-123.11815
498112,Kensington-Cedar Cottage,49.25099,-123.07457
507767,Downtown,49.27741,-123.12292
540348,Kensington-Cedar Cottage,49.25759,-123.06393
557357,Grandview-Woodland,49.27917,-123.06246
622217,Downtown,49.27999,-123.1075
625396,Kitsilano,49.27066,-123.18291
648026,Grandview-Woodland,49.26775,-123.06862
654744,West End,49.29178,-123.14175
654763,Kensington-Cedar Cottage,49.2506,-123.07175
659986,South Cambie,49.24413,-123.11955
703179,Downtown,49.27945,-123.10875
713271,West End,49.28104,-123.13621
731219,Kitsilano,49.26026,-123.18195
735468,West End,49.28059,-123.1364
755558,Kitsilano,49.25996,-123.16653
763445,Renfrew-Collingwood,49.24438,-123.04453
771366,Downtown,49.27835083,-123.1224136
771380,Downtown,49.27835083,-123.1224136
784153,Kitsilano,49.26186,-123.17438
785297,Kitsilano,49.26355,-123.17326
785752,Kitsilano,49.26213,-123.17482
796603,West End,49.28087,-123.13525
801222,Fairview,49.25804,-123.12119
824612,Hastings-Sunrise,49.28618,-123.05403
874731,Fairview,49.25785,-123.12199
875309,Kitsilano,49.27073,-123.16325
885600,Dunbar Southlands,49.24803,-123.18517
958090,Downtown,49.27744,-123.11524
961006,Riley Park,49.23569,-123.10987
961831,Kitsilano,49.26648,-123.15939
980511,Downtown,49.27489,-123.12654
994969,Downtown,49.28006,-123.12673
995174,West End,49.28837,-123.12766
1007137,Downtown,49.27804,-123.12531
1007144,Downtown,49.27828,-123.12671
1012385,Mount Pleasant,49.25674,-123.0874
1015935,Downtown Eastside,49.2804,-123.08908
1021607,Downtown,49.27747,-123.12098
1021669,Downtown,49.27703,-123.12692
1032892,Grandview-Woodland,49.27241,-123.06332
1061895,Renfrew-Collingwood,49.24166,-123.0407
1109821,West End,49.29258,-123.13446
1113551,Kitsilano,49.26110077,-123.1595459
1118858,West End,49.28239,-123.13021
1141457,Downtown Eastside,49.27925,-123.08814
1178149,Hastings-Sunrise,49.26957,-123.04828
1187929,Kensington-Cedar Cottage,49.24965,-123.07027
1191143,Kitsilano,49.26716,-123.17653
1214617,Grandview-Woodland,49.26731,-123.06909
1223989,Downtown,49.27843,-123.12901
1229506,Grandview-Woodland,49.26596,-123.06844
1273760,Downtown,49.28478,-123.1192
1291394,Kitsilano,49.26889,-123.18543
1309315,Mount Pleasant,49.26719,-123.10982
1316419,Downtown,49.28279,-123.1222
1316477,Downtown,49.27859,-123.11993
1343411,Downtown Eastside,49.27627,-123.10013
1343519,West End,49.28247,-123.13068
1360765,Downtown,49.284,-123.11432
1361276,Kensington-Cedar Cottage,49.25808,-123.07538
1365609,West End,49.27932,-123.12911
1375143,Riley Park,49.24871,-123.09646
1378220,West Point Grey,49.26026,-123.20135
1398788,Arbutus Ridge,49.23968,-123.16762
1399744,Mount Pleasant,49.26964,-123.11064
1466647,Downtown Eastside,49.28164,-123.11006
1502887,Downtown,49.29014,-123.12716
1507975,Riley Park,49.24882,-123.09121
1525113,West End,49.29101,-123.14085
1565861,Kitsilano,49.27383,-123.15362
1610084,Kensington-Cedar Cottage,49.25935559,-123.0613136
1620084,Kensington-Cedar Cottage,49.24001,-123.08278
1623556,Riley Park,49.25259,-123.09292
1629480,Riley Park,49.25225,-123.10756
1657214,Downtown Eastside,49.28167,-123.10984
1703616,Kitsilano,49.26548,-123.14579
1717967,Riley Park,49.24778,-123.09867
1733307,Downtown,49.27781,-123.10637
1768817,Riley Park,49.24489,-123.10302
1820919,Mount Pleasant,49.2585,-123.11479
1830733,Downtown Eastside,49.27866,-123.08627
1850984,Strathcona,49.26772,-123.0975
1869071,Downtown,49.28216,-123.12438
1898584,Downtown,49.27915,-123.10642
1932171,Grandview-Woodland,49.26861,-123.06666
1950844,West End,49.28957274,-123.1373565
1962072,Mount Pleasant,49.26,-123.10807
1995592,Kitsilano,49.263252,-123.164825
2003897,Fairview,49.26263,-123.11627
2008047,Strathcona,49.28519,-123.09872
2011559,Kitsilano,49.26057,-123.15881
